,bin1,bolt1,jig1,nut1
x,,,,319.6222615805005
y,,,,-113.6789416766847
z,,,,212.98509299730492
rx,,,,-0.14055163176480626
ry,,,,0.0026550916061067148
rz,,,,0.025566885943773078
qx,,,,-0.07021605137521014
qy,,,,0.0013264168212023552
qz,,,,0.012772571576658303
qw,,,,0.9974491506653406
