,bolt,nut,jig,bin
bodypart1,[ 46.61330943  27.73665056 356.76608757],[ 51.82240906 -41.41711484 356.47875153],[-76.48670803 -66.02434202 255.04543076],[  0.58269104  70.78327879 347.92567106]
bodypart2,[ 50.57647053  23.14776869 362.72472148],[ 60.62464024 -46.31223833 359.59840911],[-79.46171241 -14.27130252 271.46730033],[  3.49311755   9.16406839 328.61622259]
bodypart3,[ 44.85173903  18.32432768 365.44849377],[ 60.67620112 -55.28661864 353.79899567],[  2.12280373 -13.57299728 289.36285879],[-81.99742564   6.66692101 310.14583228]
bodypart4,[ 35.51323027  17.95581584 364.49321881],[ 52.47946861 -59.58994743 350.62297541],[  4.97286296 -67.45312227 275.60136776],[-85.2516247   67.18855895 326.85299994]
bodypart5,[ 31.35927187  22.6700838  362.72281212],[ 43.94692396 -55.51645512 352.89864573],,
bodypart6,[ 36.60181663  27.68875416 358.51090527],[ 43.62533582 -46.50778161 355.80076666],,
bodypart7,[ 39.47505772  43.30004112 371.79109757],,,
bodypart8,[ 36.27302352  70.09188232 388.14203239],,,
