,bolt,nut,jig,bin
bodypart1,[576.05776731 -63.39725002  39.4880877 ],[ 583.69062871 -106.00152176   23.53802232],[708.73649736  48.73146832  80.33472786],[595.44060979  62.50701086  50.65731837]
bodypart2,[573.14657271 -72.21319404  35.57871781],[578.18662291 -98.18092523  24.32705544],[653.25082764  50.04197389  83.20613658],[531.60778355  63.78495924  55.05167234]
bodypart3,[580.03959442 -76.24421983  36.5128746 ],[569.44418057 -98.27926965  23.19543959],[652.1424316  -34.34079118  82.679241  ],[530.83143134 -25.27954232  54.00722326]
bodypart4,[581.36827271 -71.51947398  26.88778201],[ 569.03370456 -104.86431806   30.87118117],[709.321592   -35.40708704  83.77435953],[595.84603525 -26.7791979   52.77886498]
bodypart5,[581.05925939 -64.32549156  26.1913214 ],[ 573.02359832 -112.9278719    29.48105503],,
bodypart6,[576.74050503 -59.10634933  31.29649775],[ 580.31523276 -113.31621731   27.33877425],,
bodypart7,[556.8377414  -67.43833351  31.39808557],,,
bodypart8,[527.33227005 -67.11614597  24.13459195],,,
