,bolt,nut,jig,bin
bodypart1,[572.35587645 -68.88792374  19.90448832],[ 557.51019938 -118.32381139   -1.47910334],[706.40157872  55.24566711  63.88925289],[527.8402023  -28.28932844  37.70989705]
bodypart2,[571.96584795 -79.71261008  18.6995124 ],[ 562.2054397  -127.52800941   -2.41991455],[650.9855965  55.0484781  67.1764062],[593.98834614 -27.09172245  33.76473957]
bodypart3,[574.66562434 -84.52442124  11.43398025],[ 571.5201821  -127.98458507   -4.42893349],[649.72302303 -30.93845502  61.32265399],[596.9776569   62.22713381  39.85105744]
bodypart4,[578.25574326 -78.58743834   5.91955991],[ 5.78006707e+02 -1.17920028e+02  2.49016410e-01],[706.93400573 -31.21690994  56.71090485],[531.41908929  62.17902501  42.17810477]
bodypart5,[577.07198579 -69.52482147   3.47021769],[ 572.54374442 -109.61139709   -1.31509033],,
bodypart6,[575.1925878  -63.96325763  12.90118439],[ 563.82310023 -108.93365447    0.70890237],,
bodypart7,[552.0310381  -75.52195797   9.86729866],,,
bodypart8,[521.26555144 -76.73956238   5.47037265],,,
