individuals,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
1733340059_left.png,,,,,,,,,,,,,,,,-5.603743202063827,-84.56770581603818,263.98687752858103,,,,,,,,,,,,,-25.981299067146637,-90.25398869511439,274.1433651595174,,,,,,,,,,,,,,,,42.80555657273416,-0.7876315462771364,305.90172075003284,52.8384330327207,-1.363846804346926,303.4709929261733,56.590189157727174,-9.493066152431608,299.3719329650121,51.39399302625448,-17.490153211524856,295.60144013662574,42.11458007615791,-17.414784371706492,303.9035258855034,37.36854709482338,-8.94755720402159,303.6461395720698
