,bolt,nut,jig,bin
bodypart1,[  3.77774944  -0.504082   -10.40489047],[ 0.20855069  9.4786883  -1.88841685],[ 42.14700993  22.39940051 -19.47884639],[ 44.19777064  26.83934529 -22.68842963]
bodypart2,[-2.73156136 -0.18114059 -3.49439589],[ 7.52879238  3.14521491 -7.00557434],[ 44.11094286 -23.83228857  12.10214705],[ 48.36395152 -28.45636065  17.42453213]
bodypart3,[-8.41821975  6.50660901 -1.79897245],[ 8.70662281 -4.57868546 -2.67764862],[-42.299444   -22.52961484  20.38936069],[-44.6679112  -26.05590855  19.8027622 ]
bodypart4,[-2.982543   13.78867324 -2.89975035],[ 0.59510677 -9.50954347  3.03869638],[-43.95850879  23.9625029  -13.01266134],[-47.89381096  27.67292391 -14.53886469]
bodypart5,[ 2.97370239 13.23340768 -8.12930362],[-8.29172068 -3.23187001  6.3829919 ],,
bodypart6,[  8.24410281   6.36448673 -10.61483389],[-8.74735197  4.69619573  2.14995153],,
bodypart7,[-0.96484338 -8.67443847  2.40759155],,,
bodypart8,[  0.10161285 -30.5335156   34.93455511],,,
