,bolt,nut,jig,bin
bodypart1,[544.77730927 162.03382757  34.86894246],[526.47015164 260.35772005   7.33808989],[578.90341216 -63.09879582 157.91016262],[397.58919814 130.47459751  55.44613599]
bodypart2,[541.27207652 154.881288    29.69353189],[524.06359628 268.11872005  14.67699272],[522.96993449 -64.41095333 160.7927955 ],[329.16481777 130.48482833  56.90419169]
bodypart3,[545.92222947 149.08198192  24.72536667],[515.23778267 268.83786314  15.8452007 ],[ 524.39496443 -151.21190848  159.96014826],[335.43946695  37.67620858  60.58311912]
bodypart4,[552.03800442 154.62734134  20.7715029 ],[508.37478857 260.18727469  14.92146643],[ 581.61483139 -149.41727692  158.33820336],[399.07841706  38.03136209  55.43539151]
bodypart5,[554.37916053 161.06420738  24.79880349],[511.90389241 251.04034543   9.13801505],,
bodypart6,[550.08742076 166.5258112   30.53368882],[520.78980669 251.03144604   7.7164296 ],,
bodypart7,[530.84836599 156.02960533  30.03774576],,,
bodypart8,[493.78163129 153.82594966  17.46153723],,,
