,bolt,nut,jig,bin
bodypart1,[545.20758376 164.62833582  24.42033743],[511.82180453 260.31241512   9.30402923],[568.18460832 -65.55962959 135.98154781],[328.87157169  43.53812379  48.05180994]
bodypart2,[545.75264135 154.18546403  25.02075206],[517.16584502 251.68746779   9.55625247],[511.69434954 -66.64833036 142.51398728],[392.76429615  42.18719006  39.17718008]
bodypart3,[547.78998075 148.8812302   16.10859016],[526.63304832 251.67516686   8.97066311],[ 512.66413631 -154.29327774  141.5373326 ],[394.21572828 133.29619636  41.5184169 ]
bodypart4,[5.47994861e+02 1.54293803e+02 1.86141627e-01],[531.60982336 260.34929831   8.41022745],[ 569.73016993 -153.89208254  136.40028946],[328.28611548 133.69595223  46.4570772 ]
bodypart5,[549.96496974 163.79257207   7.19527358],[526.50168602 269.47167602   8.21484604],,
bodypart6,[546.7976144  169.28115966  13.88343896],[516.93623754 269.37832824   9.59354346],,
bodypart7,[526.1175495  157.98830705  13.70551626],,,
bodypart8,[493.72170264 156.46242719   6.62004152],,,
